path	codec	height	container_fps	decode_fps_1	decode_fps_2	interlaced	progressive	verdict
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s03e01 - Family.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	655	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s03e02 - Booth Tree.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s03e03 - Apparently Dead.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s03e04 - Unfinished Business.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s03e06 - Tales from the Rift.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s03e05 - Baby Proof.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	711	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s03e07 - Twist and Shout.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s03e08 - Rifting Apart.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s03e09 - Judgement Day.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/ash vs evil dead/Ash vs Evil Dead - s03e10 - The Mettle of Man.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Austin Powers International Man of Mystery.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	717	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Austin Powers The Spy Who Shagged Me.mkv	mpeg2video	480	30000/1001	24.00	24.06	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Back to the Future (1985).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Back to the Future Part 2 (1989).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Back to the Future Part 3 (1990).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Bad Boys 2 (2003).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Bad Boys.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Balls Of Fury.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Bandits.mkv	mpeg2video	480	30000/1001	24.00	24.03	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Batman Begins.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Batman Forever.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Batman(1989).mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/Bedazzled.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
